Rodovia;Tipo de Rodovia;Orientação;Origem;Municipio;Regional (CGR);Sede Coordenadoria Geral Regional;Km Inicial;Km Final;Extensão;Descrição Inicial;Descrição Final;Jurisdição;Administrador;Conservador;TipoPista;Sobreposição;Subposição;Perímetro Urbano;Data de Início do Contrato;Data de  Fim do Contrato;Estadual Coincidente;Denominação;Legislação;TPUso;Transf. Municipio;Subtrecho
SP 268;Eixo;Radial;Estadual;Itapetininga;CGR02;Itapetininga;164,190;167,700;3,510;Entroncamento SP 127 (km 145);Entroncamento SP 129 (km 76) / SP 157 (km 0);Estadual;DER;02.01;DUP; ; ;Não; ; ;Nã; ; ; ; ;268SPE5131
SP 127;Eixo;Transversal;Estadual;Itapetininga;CGR02;Itapetininga;158,300;178,780;20,480;Entroncamento SP 270 (km 168) (B);Entroncamento SP 139 (km 121) (Distrito de Gramadinho);Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 10 2027;Sim;Professor Francisco da Silva Pontes;Lei 9.536 de 02/05/97; ; ;127SPE6131
SP 127;Eixo;Transversal;Estadual;Itapetininga;CGR02;Itapetininga;178,780;188,570;9,790;Entroncamento SP 139 (km 121) (Distrito de Gramadinho);Divisa Municipal Itapetininga / São Miguel Arcanjo;Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 10 2027;Sim;Professor Francisco da Silva Pontes;Lei 9.536 de 02/05/97; ; ;127SPE4379
SP 270;Eixo;Radial;Estadual;Itapetininga;CGR02;Itapetininga;151,900;158,400;6,500;Divisa Municipal Alambari / Itapetininga;Entroncamento SP 127 (km 147) (A);Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 09 2029;Sim;Raposo Tavares;Res. Csr 1.991 de 17/08/54; ; ;270SPE4558
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;177,650;180,000;2,350;Entrocamento SPA 180/250 - Acesso a São Miguel Arcanjo;Fim do trecho Conservado pela Prefeitura;Estadual;DER;02.01;PAV; ; ;Sim; ; ;Nã;Aparicio de Oliveira Terra;Lei 7.980 de 23/07/92; ; ;250SPE6767
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;180,000;192,200;12,200;Fim do trecho Conservado pela Prefeitura;Inicio do trecho em terra;Estadual;DER;02.01;PAV; ; ;Sim; ; ;Nã;Aparicio de Oliveira Terra;Lei 7.980 de 23/07/92; ; ;250SPE3601
SP 250;Eixo;Radial;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;192,200;201,810;9,610;Inicio do trecho em terra;Divisa Municipal São Miguel Arcanjo / Capão Bonito;Estadual;DER;02.01;IMP; ; ;Não; ; ;Nã;Aparicio de Oliveira Terra;Lei 7.980 de 23/07/92; ; ;250SPE2313
SP 127;Eixo;Transversal;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;188,570;191,790;3,220;Divisa Municipal Itapetininga / São Miguel Arcanjo;Divisa Municipal São Miguel Arcanjo / Itapetininga;Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 10 2027;Sim;Professor Francisco da Silva Pontes;Lei 9.536 de 02/05/97; ; ;127SPE2680
SP 127;Eixo;Transversal;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;191,790;192,590;0,800;Divisa Municipal São Miguel Arcanjo / Itapetininga;Divisa Municipal Itapetininga / Capão Bonito;Estadual;Concessionária;Spvias;DUP; ; ;Não;10 02 2000;10 10 2027;Sim;Professor Francisco da Silva Pontes;Lei 9.536 de 02/05/97; ; ;127SPE3704
SP 139;Eixo;Transversal;Estadual;São Miguel Arcanjo;CGR02;Itapetininga;76,310;78,300;1,990;Divisa Municipal Capão Bonito / São Miguel Arcanjo;Fim Reserva Florestal;Estadual;DER;02.01;PAV; ; ;Não; ; ;Nã;Nequinho Fogaça;Lei.nº  2.869 de 04/06/1981; ; ;139SPE6244
