PERIODO,KM,severidade,risco_previsto
2025-02,314,2.0,2.8864779947645895
2025-05,317,2.0,2.8791271565948993
2025-05,93,0.0,2.878434497195853
2025-07,21,0.0,2.875684471943121
2025-06,314,2.0,2.872893431877027
2025-03,56,2.0,2.871507242818775
2025-06,312,2.0,2.8694583247334418
2025-07,3,0.0,2.867832342821237
2025-03,11,0.0,2.8666202089161392
2025-04,314,3.0,2.8658716164521825
2025-10,309,0.0,2.8639387654682618
2025-11,15,4.0,2.862478794124525
2025-10,17,2.0,2.8598713589604317
2025-06,315,0.0,2.858883440107766
2025-08,64,1.0,2.8585852528168156
2025-11,64,1.0,2.8531578411705687
2025-11,120,1.0,2.849146599182424
2025-05,53,1.0,2.8487317818979414
2025-05,313,13.0,2.847852776285327
2025-07,59,2.0,2.847291015207122
2025-08,307,0.0,2.8397441880271743
2025-01,64,13.0,2.8383107521525637
2025-04,315,9.0,2.8373555533864145
2025-12,0,2.0,2.83340445277297
2025-11,13,0.0,2.8331200619511003
2025-02,15,1.0,2.827306172305544
2025-10,100,5.0,2.8167395713926733
2025-08,128,13.0,2.813685779035186
2025-03,18,18.0,2.8122525379233814
2025-10,101,2.0,2.806369929251466
2025-12,112,5.0,2.794804540347724
2025-07,36,0.0,2.790904352351398
2025-04,312,1.0,2.789773917639851
2025-10,59,5.0,2.789316224026082
2025-12,308,1.0,2.786704674117708
2025-03,41,0.0,2.7810740272573002
2025-09,59,3.0,2.776134136379207
2025-05,315,6.0,2.771496686530459
2025-06,307,1.0,2.7680963043117397
2025-01,13,0.0,2.7671465918864238
2025-12,100,0.0,2.76108259699097
2025-02,13,1.0,2.761079752179938
2025-07,53,2.0,2.7589496867497116
2025-02,100,1.0,2.757509131094494
2025-05,23,11.0,2.7524079589118315
2025-08,317,0.0,2.7523005047641065
2025-03,13,0.0,2.748588641032173
2025-06,21,4.0,2.7468600137216312
2025-08,314,1.0,2.7463500154106266
2025-01,100,0.0,2.73446309248867
2025-03,314,2.0,2.7343111944999277
2025-12,23,13.0,2.733679097637964
2025-11,128,0.0,2.72918205534795
2025-07,97,5.0,2.7287727520426546
2025-04,99,2.0,2.727178018813297
2025-01,308,3.0,2.719166274197792
2025-07,317,1.0,2.7174046034534776
2025-12,317,8.0,2.7077186215946516
2025-04,16,0.0,2.705983737621772
2025-09,56,1.0,2.700149250661066
2025-04,97,0.0,2.69987983621632
2025-06,114,0.0,2.6994289359166586
2025-08,308,3.0,2.6988261069505928
2025-08,3,0.0,2.6972633648153646
2025-11,3,1.0,2.694702183651573
2025-03,3,0.0,2.6925620050452808
2025-01,97,1.0,2.6895431724521175
2025-05,307,6.0,2.6887608581762423
2025-01,53,6.0,2.6852864279523208
2025-01,312,0.0,2.6851478362729653
2025-10,97,8.0,2.6848939769054714
2025-09,1,1.0,2.684426841043293
2025-02,120,0.0,2.6835284374221957
2025-06,56,1.0,2.6834789000390757
2025-11,5,1.0,2.682571994520621
2025-04,0,0.0,2.682136316246911
2025-11,16,1.0,2.6798169933585574
2025-08,13,9.0,2.6798063517195887
2025-07,312,0.0,2.6777632855076887
2025-11,112,5.0,2.6752237327905686
2025-08,53,1.0,2.671969601057874
